Id. de problema,Descripción,Estado,Gravedad,Puntos de la historia,Ruta de acceso del proyecto,Tipo de ubicación,Ruta de acceso,Línea,Columna,Id. de incidente,Vínculo de ayuda,Nombre del ensamblado,Versión de ensamblado,Clave pública de ensamblado,Fragmento
NuGet.0002,Se recomienda actualizar el paquete NuGet,Active,Potential,1,S_Blazor_TDApp.Client\S_Blazor_TDApp.Client.csproj,File,S_Blazor_TDApp.Client\S_Blazor_TDApp.Client.csproj,,,Microsoft.AspNetCore.Components.Authorization 9.0.3,,,,,"Microsoft.AspNetCore.Components.Authorization, 9.0.3  Recomendación:  Remove Microsoft.AspNetCore.Components.Authorization, and replace with new package Microsoft.AspNetCore.Components.Authorization 10.0.3"
NuGet.0002,Se recomienda actualizar el paquete NuGet,Active,Potential,1,S_Blazor_TDApp.Client\S_Blazor_TDApp.Client.csproj,File,S_Blazor_TDApp.Client\S_Blazor_TDApp.Client.csproj,,,Microsoft.AspNetCore.Components.WebAssembly 9.0.3,,,,,"Microsoft.AspNetCore.Components.WebAssembly, 9.0.3  Recomendación:  Remove Microsoft.AspNetCore.Components.WebAssembly, and replace with new package Microsoft.AspNetCore.Components.WebAssembly 10.0.3"
NuGet.0002,Se recomienda actualizar el paquete NuGet,Active,Potential,1,S_Blazor_TDApp.Client\S_Blazor_TDApp.Client.csproj,File,S_Blazor_TDApp.Client\S_Blazor_TDApp.Client.csproj,,,Microsoft.AspNetCore.Components.WebAssembly.DevServer 9.0.3,,,,,"Microsoft.AspNetCore.Components.WebAssembly.DevServer, 9.0.3  Recomendación:  Remove Microsoft.AspNetCore.Components.WebAssembly.DevServer, and replace with new package Microsoft.AspNetCore.Components.WebAssembly.DevServer 10.0.3"
NuGet.0005,El paquete NuGet está en desuso,Active,Optional,1,S_Blazor_TDApp.Client\S_Blazor_TDApp.Client.csproj,File,S_Blazor_TDApp.Client\S_Blazor_TDApp.Client.csproj,,,Blazored.SessionStorage 2.4.0,,,,,"Blazored.SessionStorage, 2.4.0  Recomendación:  Debe reemplazarse. Remove Blazored.SessionStorage, and replace with new package Blazored.SessionStorage, 2.4.0"
Project.0002,Es necesario cambiar el marco de destino del proyecto,Active,Mandatory,1,S_Blazor_TDApp.Client\S_Blazor_TDApp.Client.csproj,File,S_Blazor_TDApp.Client\S_Blazor_TDApp.Client.csproj,,,,,,,,Marco de destino actual: net9.0 Marco de destino recomendado: net10.0
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,S_Blazor_TDApp.Client\S_Blazor_TDApp.Client.csproj,File,S_Blazor_TDApp.Client\obj\Debug\net9.0\Microsoft.CodeAnalysis.Razor.Compiler\Microsoft.NET.Sdk.Razor.SourceGenerators.RazorSourceGenerator\Pages/RegistroProcesos_razor.g.cs,2014,8,M:System.TimeSpan.FromSeconds(System.Int64),,,,,"_refreshTimer = new System.Threading.Timer(async _ =>          {              await InvokeAsync(async () =>              {                  await RefreshData();                  StateHasChanged();              });          }, null, TimeSpan.FromSeconds(30), TimeSpan.FromSeconds(30));"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,S_Blazor_TDApp.Client\S_Blazor_TDApp.Client.csproj,File,S_Blazor_TDApp.Client\obj\Debug\net9.0\Microsoft.CodeAnalysis.Razor.Compiler\Microsoft.NET.Sdk.Razor.SourceGenerators.RazorSourceGenerator\Pages/RegistroProcesos_razor.g.cs,2014,8,M:System.TimeSpan.FromSeconds(System.Int64),,,,,"_refreshTimer = new System.Threading.Timer(async _ =>          {              await InvokeAsync(async () =>              {                  await RefreshData();                  StateHasChanged();              });          }, null, TimeSpan.FromSeconds(30), TimeSpan.FromSeconds(30));"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,S_Blazor_TDApp.Client\S_Blazor_TDApp.Client.csproj,File,S_Blazor_TDApp.Client\obj\Debug\net9.0\Microsoft.CodeAnalysis.Razor.Compiler\Microsoft.NET.Sdk.Razor.SourceGenerators.RazorSourceGenerator\Pages/InicioSesion_razor.g.cs,493,16,T:System.Net.Http.HttpContent,,,,,var errorResult = await loginResponse.Content.ReadFromJsonAsync<ErrorResponse>();
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,S_Blazor_TDApp.Client\S_Blazor_TDApp.Client.csproj,File,S_Blazor_TDApp.Client\obj\Debug\net9.0\Microsoft.CodeAnalysis.Razor.Compiler\Microsoft.NET.Sdk.Razor.SourceGenerators.RazorSourceGenerator\Pages/InicioSesion_razor.g.cs,486,16,T:System.Net.Http.HttpContent,,,,,var sesionUsuario = await loginResponse.Content.ReadFromJsonAsync<InicioSesionDTO>();
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,S_Blazor_TDApp.Client\S_Blazor_TDApp.Client.csproj,File,S_Blazor_TDApp.Client\Services\Implementation\TareaDiasService.cs,72,12,T:System.Net.Http.HttpContent,,,,,"var response = await httpResponse.Content.ReadFromJsonAsync<ResponseAPI<int>>()                  ?? throw new Exception(""No se recibió respuesta del servidor."");"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,S_Blazor_TDApp.Client\S_Blazor_TDApp.Client.csproj,File,S_Blazor_TDApp.Client\Services\Implementation\TareaDiasService.cs,68,16,T:System.Net.Http.HttpContent,,,,,var errorContent = await httpResponse.Content.ReadAsStringAsync();
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,S_Blazor_TDApp.Client\S_Blazor_TDApp.Client.csproj,File,S_Blazor_TDApp.Client\Services\Implementation\TareaDiasService.cs,54,12,T:System.Net.Http.HttpContent,,,,,"var response = await httpResponse.Content.ReadFromJsonAsync<ResponseAPI<int>>()                  ?? throw new Exception(""No se recibió respuesta del servidor."");"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,S_Blazor_TDApp.Client\S_Blazor_TDApp.Client.csproj,File,S_Blazor_TDApp.Client\Services\Implementation\TareaDiasService.cs,50,16,T:System.Net.Http.HttpContent,,,,,var errorContent = await httpResponse.Content.ReadAsStringAsync();
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,S_Blazor_TDApp.Client\S_Blazor_TDApp.Client.csproj,File,S_Blazor_TDApp.Client\Services\Implementation\TareaCalendarioService.cs,78,12,T:System.Net.Http.HttpContent,,,,,"var response = await httpResponse.Content.ReadFromJsonAsync<ResponseAPI<int>>()                  ?? throw new Exception(""No se recibió respuesta del servidor."");"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,S_Blazor_TDApp.Client\S_Blazor_TDApp.Client.csproj,File,S_Blazor_TDApp.Client\Services\Implementation\TareaCalendarioService.cs,74,16,T:System.Net.Http.HttpContent,,,,,var errorContent = await httpResponse.Content.ReadAsStringAsync();
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,S_Blazor_TDApp.Client\S_Blazor_TDApp.Client.csproj,File,S_Blazor_TDApp.Client\Services\Implementation\TareaCalendarioService.cs,60,12,T:System.Net.Http.HttpContent,,,,,"var response = await httpResponse.Content.ReadFromJsonAsync<ResponseAPI<int>>()                  ?? throw new Exception(""No se recibió respuesta del servidor."");"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,S_Blazor_TDApp.Client\S_Blazor_TDApp.Client.csproj,File,S_Blazor_TDApp.Client\Services\Implementation\TareaCalendarioService.cs,56,16,T:System.Net.Http.HttpContent,,,,,var errorContent = await httpResponse.Content.ReadAsStringAsync();
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,S_Blazor_TDApp.Client\S_Blazor_TDApp.Client.csproj,File,S_Blazor_TDApp.Client\Services\Implementation\TareaCalendarioService.cs,42,12,T:System.Net.Http.HttpContent,,,,,"var response = await httpResponse.Content.ReadFromJsonAsync<ResponseAPI<int>>()                  ?? throw new Exception(""No se recibió respuesta del servidor."");"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,S_Blazor_TDApp.Client\S_Blazor_TDApp.Client.csproj,File,S_Blazor_TDApp.Client\Services\Implementation\TareaCalendarioService.cs,38,16,T:System.Net.Http.HttpContent,,,,,var errorContent = await httpResponse.Content.ReadAsStringAsync();
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,S_Blazor_TDApp.Client\S_Blazor_TDApp.Client.csproj,File,S_Blazor_TDApp.Client\Services\Implementation\UsuarioService.cs,115,16,T:System.Net.Http.HttpContent,,,,,var errorContent = await httpResponse.Content.ReadAsStringAsync();
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,S_Blazor_TDApp.Client\S_Blazor_TDApp.Client.csproj,File,S_Blazor_TDApp.Client\Services\Implementation\UsuarioService.cs,100,12,T:System.Net.Http.HttpContent,,,,,"var response = await httpResponse.Content.ReadFromJsonAsync<ResponseAPI<int>>()                  ?? throw new Exception(""No se recibió respuesta del servidor."");"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,S_Blazor_TDApp.Client\S_Blazor_TDApp.Client.csproj,File,S_Blazor_TDApp.Client\Services\Implementation\UsuarioService.cs,96,16,T:System.Net.Http.HttpContent,,,,,var errorContent = await httpResponse.Content.ReadAsStringAsync();
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,S_Blazor_TDApp.Client\S_Blazor_TDApp.Client.csproj,File,S_Blazor_TDApp.Client\Services\Implementation\UsuarioService.cs,82,12,T:System.Net.Http.HttpContent,,,,,"var response = await httpResponse.Content.ReadFromJsonAsync<ResponseAPI<int>>()                  ?? throw new Exception(""No se recibió respuesta del servidor."");"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,S_Blazor_TDApp.Client\S_Blazor_TDApp.Client.csproj,File,S_Blazor_TDApp.Client\Services\Implementation\UsuarioService.cs,78,16,T:System.Net.Http.HttpContent,,,,,var errorContent = await httpResponse.Content.ReadAsStringAsync();
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,S_Blazor_TDApp.Client\S_Blazor_TDApp.Client.csproj,File,S_Blazor_TDApp.Client\Services\Implementation\UsuarioService.cs,64,12,T:System.Net.Http.HttpContent,,,,,"var response = await httpResponse.Content.ReadFromJsonAsync<ResponseAPI<int>>()                  ?? throw new Exception(""No se recibió respuesta del servidor."");"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,S_Blazor_TDApp.Client\S_Blazor_TDApp.Client.csproj,File,S_Blazor_TDApp.Client\Services\Implementation\UsuarioService.cs,60,16,T:System.Net.Http.HttpContent,,,,,var errorContent = await httpResponse.Content.ReadAsStringAsync();
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,S_Blazor_TDApp.Client\S_Blazor_TDApp.Client.csproj,File,S_Blazor_TDApp.Client\Services\Implementation\RolService.cs,88,12,T:System.Net.Http.HttpContent,,,,,"var response = await httpResponse.Content.ReadFromJsonAsync<ResponseAPI<int>>()                  ?? throw new Exception(""No se recibió respuesta del servidor."");"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,S_Blazor_TDApp.Client\S_Blazor_TDApp.Client.csproj,File,S_Blazor_TDApp.Client\Services\Implementation\RolService.cs,84,16,T:System.Net.Http.HttpContent,,,,,var errorContent = await httpResponse.Content.ReadAsStringAsync();
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,S_Blazor_TDApp.Client\S_Blazor_TDApp.Client.csproj,File,S_Blazor_TDApp.Client\Services\Implementation\RolService.cs,70,12,T:System.Net.Http.HttpContent,,,,,"var response = await httpResponse.Content.ReadFromJsonAsync<ResponseAPI<int>>()                  ?? throw new Exception(""No se recibió respuesta del servidor."");"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,S_Blazor_TDApp.Client\S_Blazor_TDApp.Client.csproj,File,S_Blazor_TDApp.Client\Services\Implementation\RolService.cs,66,16,T:System.Net.Http.HttpContent,,,,,var errorContent = await httpResponse.Content.ReadAsStringAsync();
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,S_Blazor_TDApp.Client\S_Blazor_TDApp.Client.csproj,File,S_Blazor_TDApp.Client\Services\Implementation\RolService.cs,52,12,T:System.Net.Http.HttpContent,,,,,"var response = await httpResponse.Content.ReadFromJsonAsync<ResponseAPI<int>>()                  ?? throw new Exception(""No se recibió respuesta del servidor."");"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,S_Blazor_TDApp.Client\S_Blazor_TDApp.Client.csproj,File,S_Blazor_TDApp.Client\Services\Implementation\RolService.cs,48,16,T:System.Net.Http.HttpContent,,,,,var errorContent = await httpResponse.Content.ReadAsStringAsync();
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,S_Blazor_TDApp.Client\S_Blazor_TDApp.Client.csproj,File,S_Blazor_TDApp.Client\Services\Implementation\RegistroProcesosService.cs,81,12,T:System.Net.Http.HttpContent,,,,,"var response = await httpResponse.Content.ReadFromJsonAsync<ResponseAPI<int>>()                  ?? throw new Exception(""No se recibió respuesta del servidor."");"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,S_Blazor_TDApp.Client\S_Blazor_TDApp.Client.csproj,File,S_Blazor_TDApp.Client\Services\Implementation\RegistroProcesosService.cs,77,16,T:System.Net.Http.HttpContent,,,,,var errorContent = await httpResponse.Content.ReadAsStringAsync();
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,S_Blazor_TDApp.Client\S_Blazor_TDApp.Client.csproj,File,S_Blazor_TDApp.Client\Services\Implementation\RegistroProcesosService.cs,63,12,T:System.Net.Http.HttpContent,,,,,"var response = await httpResponse.Content.ReadFromJsonAsync<ResponseAPI<int>>()                  ?? throw new Exception(""No se recibió respuesta del servidor."");"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,S_Blazor_TDApp.Client\S_Blazor_TDApp.Client.csproj,File,S_Blazor_TDApp.Client\Services\Implementation\RegistroProcesosService.cs,59,16,T:System.Net.Http.HttpContent,,,,,var errorContent = await httpResponse.Content.ReadAsStringAsync();
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,S_Blazor_TDApp.Client\S_Blazor_TDApp.Client.csproj,File,S_Blazor_TDApp.Client\Services\Implementation\TareaRecurrenteService.cs,78,12,T:System.Net.Http.HttpContent,,,,,"var response = await httpResponse.Content.ReadFromJsonAsync<ResponseAPI<int>>()                  ?? throw new Exception(""No se recibió respuesta del servidor."");"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,S_Blazor_TDApp.Client\S_Blazor_TDApp.Client.csproj,File,S_Blazor_TDApp.Client\Services\Implementation\TareaRecurrenteService.cs,74,16,T:System.Net.Http.HttpContent,,,,,var errorContent = await httpResponse.Content.ReadAsStringAsync();
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,S_Blazor_TDApp.Client\S_Blazor_TDApp.Client.csproj,File,S_Blazor_TDApp.Client\Services\Implementation\TareaRecurrenteService.cs,60,12,T:System.Net.Http.HttpContent,,,,,"var response = await httpResponse.Content.ReadFromJsonAsync<ResponseAPI<int>>()                  ?? throw new Exception(""No se recibió respuesta del servidor."");"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,S_Blazor_TDApp.Client\S_Blazor_TDApp.Client.csproj,File,S_Blazor_TDApp.Client\Services\Implementation\TareaRecurrenteService.cs,56,16,T:System.Net.Http.HttpContent,,,,,var errorContent = await httpResponse.Content.ReadAsStringAsync();
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,S_Blazor_TDApp.Client\S_Blazor_TDApp.Client.csproj,File,S_Blazor_TDApp.Client\Services\Implementation\TareaRecurrenteService.cs,42,12,T:System.Net.Http.HttpContent,,,,,"var response = await httpResponse.Content.ReadFromJsonAsync<ResponseAPI<int>>()                  ?? throw new Exception(""No se recibió respuesta del servidor."");"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,S_Blazor_TDApp.Client\S_Blazor_TDApp.Client.csproj,File,S_Blazor_TDApp.Client\Services\Implementation\TareaRecurrenteService.cs,38,16,T:System.Net.Http.HttpContent,,,,,var errorContent = await httpResponse.Content.ReadAsStringAsync();
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,S_Blazor_TDApp.Client\S_Blazor_TDApp.Client.csproj,File,S_Blazor_TDApp.Client\Program.cs,15,0,T:System.Uri,,,,,"builder.Services.AddScoped(sp => new HttpClient { BaseAddress = new Uri(""https://localhost:7219/"") });"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,S_Blazor_TDApp.Client\S_Blazor_TDApp.Client.csproj,File,S_Blazor_TDApp.Client\Program.cs,15,0,M:System.Uri.#ctor(System.String),,,,,"builder.Services.AddScoped(sp => new HttpClient { BaseAddress = new Uri(""https://localhost:7219/"") });"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,S_Blazor_TDApp.Client\S_Blazor_TDApp.Client.csproj,File,S_Blazor_TDApp.Client\Program.cs,15,0,T:System.Uri,,,,,"builder.Services.AddScoped(sp => new HttpClient { BaseAddress = new Uri(""https://localhost:7219/"") });"
Project.0002,Es necesario cambiar el marco de destino del proyecto,Active,Mandatory,1,S_Blazor_TDApp.Password\S_Blazor_TDApp.Password.csproj,File,S_Blazor_TDApp.Password\S_Blazor_TDApp.Password.csproj,,,,,,,,Marco de destino actual: net9.0 Marco de destino recomendado: net10.0
NuGet.0002,Se recomienda actualizar el paquete NuGet,Active,Potential,1,S_Blazor_TDApp.Server\S_Blazor_TDApp.Server.csproj,File,S_Blazor_TDApp.Server\S_Blazor_TDApp.Server.csproj,,,Microsoft.AspNetCore.OpenApi 9.0.3,,,,,"Microsoft.AspNetCore.OpenApi, 9.0.3  Recomendación:  Remove Microsoft.AspNetCore.OpenApi, and replace with new package Microsoft.AspNetCore.OpenApi 10.0.3"
NuGet.0002,Se recomienda actualizar el paquete NuGet,Active,Potential,1,S_Blazor_TDApp.Server\S_Blazor_TDApp.Server.csproj,File,S_Blazor_TDApp.Server\S_Blazor_TDApp.Server.csproj,,,Microsoft.EntityFrameworkCore.SqlServer 9.0.3,,,,,"Microsoft.EntityFrameworkCore.SqlServer, 9.0.3  Recomendación:  Remove Microsoft.EntityFrameworkCore.SqlServer, and replace with new package Microsoft.EntityFrameworkCore.SqlServer 10.0.3"
NuGet.0002,Se recomienda actualizar el paquete NuGet,Active,Potential,1,S_Blazor_TDApp.Server\S_Blazor_TDApp.Server.csproj,File,S_Blazor_TDApp.Server\S_Blazor_TDApp.Server.csproj,,,Microsoft.EntityFrameworkCore.Tools 9.0.3,,,,,"Microsoft.EntityFrameworkCore.Tools, 9.0.3  Recomendación:  Remove Microsoft.EntityFrameworkCore.Tools, and replace with new package Microsoft.EntityFrameworkCore.Tools 10.0.3"
Project.0002,Es necesario cambiar el marco de destino del proyecto,Active,Mandatory,1,S_Blazor_TDApp.Server\S_Blazor_TDApp.Server.csproj,File,S_Blazor_TDApp.Server\S_Blazor_TDApp.Server.csproj,,,,,,,,Marco de destino actual: net9.0 Marco de destino recomendado: net10.0
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,S_Blazor_TDApp.Server\S_Blazor_TDApp.Server.csproj,File,S_Blazor_TDApp.Server\Program.cs,12,0,T:Microsoft.Extensions.DependencyInjection.ServiceCollectionExtensions,,,,,builder.Services.AddAutoMapper(typeof(MappingProfile));
Project.0002,Es necesario cambiar el marco de destino del proyecto,Active,Mandatory,1,S_Blazor_TDApp.Shared\S_Blazor_TDApp.Shared.csproj,File,S_Blazor_TDApp.Shared\S_Blazor_TDApp.Shared.csproj,,,,,,,,Marco de destino actual: net9.0 Marco de destino recomendado: net10.0
